type,director,cast,country,release_year,rating,duration,listed_in,duration_value,duration_type
tv show,unknown,"jonathan cohen, gérard darmon, julia piaton, liliane rovère, olivier rosemberg, ali marhyar, lina el arabi, louise coldefy, enrico macias, valérie damidot",france,2020,tv-ma,2 Seasons,"international tv shows, tv comedies, tv dramas",2.0,season
tv show,unknown,"tracee ellis ross, golden brooks, persia white, jill marie jones, reginald c. hayes",united states,2007,tv-14,8 Seasons,tv comedies,8.0,season
movie,dean deblois,"jay baruchel, cate blanchett, gerard butler, craig ferguson, america ferrera, jonah hill, christopher mintz-plasse, t.j. miller, kristen wiig, djimon hounsou, kit harington",united states,2014,pg,102 min,children & family movies,102.0,min
movie,reinhard klooss,"patrick roche, natalie dormer, eddie marsan, felix auer, jeff burrell, harvey friedman, marty sander, ian odle, bryan larkin","germany, china, united kingdom",2020,tv-y7,93 min,"children & family movies, comedies",93.0,min
tv show,unknown,"unax ugalde, olivia molina, eleonora wexler, abel folk, ángela molina, manu fullola, daniel ibáñez, laura quirós, nicolás illoro, belén écija, juan blanco, yaima ramos",spain,2020,tv-ma,1 Season,"international tv shows, spanish-language tv shows, tv dramas",1.0,season
tv show,unknown,"katherine ryan, rory keenan, katy byrne, doon mackichan, steen raskopoulos, michelle de swarte, sophie fletcher",united kingdom,2020,tv-ma,1 Season,"british tv shows, international tv shows, tv comedies",1.0,season
movie,shaun mir,wonho chung,unknown,2014,tv-14,69 min,stand-up comedy,69.0,min
movie,satish rajwade,"nana patekar, sumeet raghvan, iravati harshe, aashish kulkarni, savita malpekar",india,2018,tv-14,133 min,"dramas, international movies, thrillers",133.0,min
movie,abhijeet deshpande,"subodh bhave, vaidehi parshurami, nandita patkar, sonali kulkarni, sumeet raghvan, prasad oak, anand ingale, suhas palshikar",india,2018,tv-14,157 min,"dramas, international movies",157.0,min
movie,mahesh manjrekar,"sagar deshmukh, vijay kenkre, iravati harshe, shubhangi damle, sachin khedekar, sunil barve, ashwini giri, rajan bhise",india,2019,tv-14,116 min,"dramas, international movies",116.0,min
movie,mahesh manjrekar,"sagar deshmukh, iravati harshe, vijay kenkre, shubhangi damle, ashwini giri, nina kulkarni, dalip tahil, girish kulkarni",india,2019,tv-pg,112 min,"dramas, international movies",112.0,min
movie,prakash kunte,"hrishikesh joshi, bhalchandra kadam, priyadarshan jadhav, deepti lele, manoj kolhatkar, maithili patwardhan",india,2018,tv-pg,96 min,"comedies, dramas, international movies",96.0,min
movie,manish saini,"naseeruddin shah, kahaan, kuldeep sodha",india,2017,tv-g,127 min,"children & family movies, dramas, international movies",127.0,min
tv show,unknown,"merle dandridge, kim hawthorne, desiree ross, lamman rucker, tye white, lynn whitfield, deborah joy winans, keith david, lovie simone, gregory alan williams, oprah winfrey",united states,2020,tv-14,5 Seasons,tv dramas,5.0,season
tv show,kenny ortega,"madison reyes, charlie gillespie, owen patrick joyner, jeremy shada, jadah marie, sacha carlson, savannah lee may, cheyenne jackson, carlos ponce, booboo stewart, sonny bustamante",united states,2020,tv-g,1 Season,"kids' tv, tv comedies",1.0,season
movie,makarand mane,"rinku rajguru, shubhankar tawde, shashank shende, suhas palshikar, bharati patil, milind pathak, umesh jagtap, shantanu gangane, vitthal kale, mahesh bhosale",india,2019,tv-ma,130 min,"dramas, international movies, romantic movies",130.0,min
movie,hakan algül,"şahin irmak, i̇rem sak, gonca vuslateri, emre karayel, duygu yetiş, onur buldu, salih kalyon, bilge şen, nilgün belgün, hakan akın",turkey,2018,tv-ma,93 min,"comedies, international movies, romantic movies",93.0,min
movie,vijay maurya,"parna pethe, chetan chitnis, anshuman joshi, aashay kulkarni, vandana gupte, girish oak",india,2016,tv-14,138 min,"comedies, dramas, international movies",138.0,min
movie,sameer patil,"sonalee kulkarni, hrishikesh joshi, jitendra joshi, aniket vishwasrao, hemant dhome, sandeep pathak, siddharth menon, akshay tanksale, vaibhav mangale, anand ingale",india,2016,tv-14,138 min,"comedies, dramas, international movies",138.0,min
movie,"kenzo maihara, amandha wyanto","christian loho, fernando surya, yayan ruhian, stella cornelia, yui takano, safira ratu, faris fadjar munggaran, adhitya alkatiri",indonesia,2017,tv-g,92 min,children & family movies,92.0,min
movie,ahmed nader galal,"youssef el sherif, dina el-sherbiny, ahmad rizq, hana el zahed, mahmoud el gendy, bayyumi fuad, khaled kamal, mahmoud el-bazzawy",egypt,2018,tv-14,110 min,"dramas, international movies, thrillers",110.0,min
movie,mcg,"judah lewis, jenna ortega, emily alyn lind, andrew bachelor, robbie amell, bella thorne, hana mae lee, ken marino, leslie bibb, chris wylde, carl mcdowell",united states,2020,tv-ma,102 min,"comedies, horror movies",102.0,min
movie,arati kadav,"vikrant massey, shweta tripathi, nandu madhav, konkona sen sharma, biswapati sarkar, ritwik bhaumik, prabal panjabi, hansal mehta",india,2020,tv-14,113 min,"comedies, dramas, independent movies",113.0,min
movie,maïmouna doucouré,"fathia youssouf, médina el aidi-azouni, esther gohourou, ilanah cami-goursolas, myriam hamma, maïmouna gueye, mbissine thérèse diop, demba diaw, mamadou samaké",france,2020,tv-ma,96 min,"dramas, international movies",96.0,min
tv show,unknown,unknown,united states,2020,tv-pg,1 Season,reality tv,1.0,season
tv show,pepe mora,unknown,spain,2020,tv-ma,1 Season,"crime tv shows, docuseries, international tv shows",1.0,season
movie,marcos carnevale,"adrián suar, soledad villamil, gabriela toscano, alan sabbagh, darío barassi, magela zanotta, betiana blum",argentina,2020,tv-14,108 min,"comedies, international movies, music & musicals",108.0,min
movie,jeff orlowski,"skyler gisondo, kara hayward, vincent kartheiser",united states,2020,pg-13,94 min,documentaries,94.0,min
movie,cho il,"yoo ah-in, park shin-hye",south korea,2020,tv-ma,99 min,"horror movies, international movies, thrillers",99.0,min
tv show,unknown,"park bo-gum, park so-dam, byeon woo-seok, ha hee-ra, shin ae-ra, han jin-hee, shin dong-mi, lee chang-hoon, kwon soo-hyun, cho yu-jung, park su-young, seo sang-won, lee jae-won",south korea,2020,tv-14,1 Season,"international tv shows, romantic tv shows, tv dramas",1.0,season
movie,"pippa ehrlich, james reed",unknown,south africa,2020,tv-g,86 min,"children & family movies, documentaries, international movies",86.0,min
movie,tolga karaçelik,"büşra pekin, nur aysan, ruhi sarı, nergis öztürk, nadir sarıbacak, serkan ercan, sermet yeşil, enes mazak, zafer diper",turkey,2010,tv-ma,98 min,"dramas, independent movies, international movies",98.0,min
tv show,unknown,"sophia isabella, jeremy levy, jacob tillman, ryan andes, deanna mcgovern, dick terhune",unknown,2020,tv-y7,2 Seasons,kids' tv,2.0,season
movie,davis guggenheim,unknown,united states,2010,pg,111 min,documentaries,111.0,min
tv show,unknown,"hunter page-lochard, rob collins, deborah mailman, ryan corr, stef dawson, iain glen, frances o'connor, tasma walton, tony briggs","australia, new zealand, united states",2017,tv-ma,1 Season,"tv dramas, tv sci-fi & fantasy, tv thrillers",1.0,season
movie,philip barantini,"craig fairbrass, george russo, robert glenister, izuka hoyle, mark monero, tomi may, eloise lovell anderson, taz skylar, nicholas aaron",united kingdom,2020,r,97 min,dramas,97.0,min
tv show,unknown,"hilary swank, josh charles, vivian wu, mark ivanir, ato essandoh, ray panthaki, talitha eliana bateman",united states,2020,tv-14,1 Season,"romantic tv shows, tv dramas, tv sci-fi & fantasy",1.0,season
movie,charlie kaufman,"jessie buckley, jesse plemons, toni collette, david thewlis, guy boyd",united states,2020,r,135 min,"dramas, independent movies",135.0,min
movie,jayan moodley,"jailoshini naidoo, maeshni naicker, madhushan singh, mishqah parthiephal, yugan naidoo, koobeshan naidoo, mariam bassa, rushil juglall, tesarnia oree",south africa,2019,tv-14,93 min,"comedies, dramas, international movies",93.0,min
tv show,unknown,"amber frank, bailey gambertoglio, sydney park, darcy rose byrnes, rhys darby",united states,2020,tv-y7,2 Seasons,kids' tv,2.0,season
movie,abba t. makama,"seun ajayi, judith audu, tope tedela, ifu ennada, chiwetalu agu, demi banwo, ibrahim jammal, micheal ajotubu, ozzy agu, cristabel goddy",nigeria,2019,tv-ma,94 min,"comedies, dramas, independent movies",94.0,min
movie,antoinette jadaone,"toni gonzaga, coco martin, freddie webb, jm de guzman, gloria sevilla, noel trinidad, adam chan, pepe herrera, jerald napoles",philippines,2015,tv-14,117 min,"comedies, international movies, romantic movies",117.0,min
movie,"junior carelli, rudge campos",afonso padilha,brazil,2020,tv-ma,63 min,stand-up comedy,63.0,min
movie,ertanto robby soediskam,"maudy koesnaedi, chicco jerikho, tutie kirana, olga lydia, joko anwar, nathania angela widjaja, sendy febrina, suhartini, atie krisnawati, ratnawati sutandar, ninik winarni utomo",indonesia,2018,tv-pg,73 min,"dramas, independent movies, international movies",73.0,min
movie,mark steven johnson,"rachael leigh cook, damon wayans jr., heather graham, caitlin howden, brendan taylor, sebastian billingsley-rodriguez, sean amsing, lisa durupt, alvin sanders, jed rees, kandyse mcclure",united states,2020,tv-pg,91 min,"comedies, independent movies, romantic movies",91.0,min
tv show,unknown,"adam pålsson, richard dillane, leanne best, ellise chappell",united kingdom,2020,tv-ma,1 Season,"crime tv shows, international tv shows, tv dramas",1.0,season
tv show,unknown,unknown,united states,2020,tv-14,1 Season,"docuseries, reality tv",1.0,season
movie,felix binder,"cornelia gröschel, tim oliver schultz, wotan wilke möhring, nina kunzendorf, frederic linkemann, finnlay berger, gisa flake, ralph herforth, thelma buabeng",germany,2020,tv-ma,93 min,"dramas, independent movies, international movies",93.0,min
movie,thor freudenthal,"emma roberts, jake t. austin, kyla pratt, lisa kudrow, kevin dillon, don cheadle, johnny simmons, troy gentile, eric edelstein, robinne lee, ajay naidu","germany, united states",2009,pg,101 min,"children & family movies, comedies",101.0,min
movie,nguyen thanh tung,son tung m-tp,vietnam,2020,tv-g,93 min,"documentaries, international movies, music & musicals",93.0,min
tv show,unknown,"henry cavill, anya chalotra, freya allan, lauren schmidt hissrich, eamon farren, mimi ndiweni, myanna buring, joey batey, adam levy, jodhi may",unknown,2020,tv-ma,1 Season,"docuseries, tv sci-fi & fantasy",1.0,season
movie,baltasar kormákur,"shailene woodley, sam claflin, jeffrey thomas, elizabeth hawthorne","hong kong, iceland, united states",2018,pg-13,96 min,"action & adventure, dramas, romantic movies",96.0,min
movie,dan villegas,"gerald anderson, arci muñoz, cacai bautista, ricci chan, tirso cruz iii, carlo aquino, matt evans, ahron villena, victor silayan, tj trinidad",philippines,2016,tv-14,112 min,"international movies, romantic movies",112.0,min
movie,conrad helten,"america young, erica lindbeck, ritesh rajan, dave fennoy, stephanie sheh, cristina milizia, desirae whitfield, emma galvin, angelo restaino, eamon brennan, ogie banks",netherlands,2020,tv-y,72 min,"children & family movies, music & musicals",72.0,min
tv show,unknown,"nobuhiko okamoto, jun fukuyama, kana hanazawa, kazuya nakai, koji yusa, yuki kaji, eri kitamura, ayahi takagaki, rina satou, daisuke ono, ryotaro okiayu, tetsuya kakihara, hiroshi kamiya, keiji fujiwara, hiroaki hirata, jin urayama, katsuyuki konishi, kisho taniyama, m・a・o, kazuhiro yamaji, hideyuki tanaka, masaki terasoma, naomi shindo",japan,2017,tv-ma,2 Seasons,"anime series, international tv shows",2.0,season
tv show,unknown,marley dias,united states,2020,tv-y,1 Season,kids' tv,1.0,season
tv show,unknown,"sidse babett knudsen, birgitte hjort sørensen, pilou asbæk, emil poulsen, freja riemann, søren malling, thomas levin, benedikte hansen, mikael birkkjær, anders juul, lisbeth wulff, kasper lange, lars knutzon, søren spanning, christoph bastrup, morten kirkskov, bjarne henriksen, peter mygind, ole thestrup, iben dorner, dar salim, jens albinus, christian tafdrup, alastair mackenzie, julie agnete vang, kristian halken, ricard lawrence, marie askehave, rikke lylloff, mille dinesen, anne sofie espersen",denmark,2012,tv-ma,3 Seasons,"international tv shows, tv dramas",3.0,season
movie,ayumu watanabe,"mana ashida, hiiro ishibashi, seishu uragami, win morisaki, goro inagaki, yu aoi, toru watanabe, min tanaka, sumiko fuji","japan, united states",2019,tv-pg,112 min,"anime features, international movies",112.0,min
tv show,unknown,"tao tsuchiya, shinnosuke mitsushima, aoi yuki, chinatsu akasaki, yo taichi, akari kito, ayaka nanase, yukitoshi kikuchi, takahiro mizushima, minami takayama, mitsuru miyamoto",japan,2016,tv-14,1 Season,"anime series, international tv shows, tv thrillers",1.0,season
movie,hitoshi namba,"nobunaga shimazaki, rie takahashi, ayako kawasumi, madoka yonezawa, kenichi suzumura, tomokazu sugita",japan,2016,tv-14,72 min,"action & adventure, anime features, international movies",72.0,min
tv show,unknown,felipe esparza,united states,2020,tv-ma,1 Season,"stand-up comedy & talk shows, tv comedies",1.0,season
tv show,unknown,"jamel debbouze, éric judor, ramzy bedia, catherine benguigui, sophie mounicot, jean-luc bideau",france,2002,tv-ma,4 Seasons,"international tv shows, tv comedies",4.0,season
tv show,unknown,"monique hore, sophia morrison, peter mcallum, nicole shostak, jamie croft, beth armstrong, kate fitzpatrick, penny cook, charlotte hamlyn, tess meyer","france, australia, germany",2020,tv-y7,1 Season,kids' tv,1.0,season
movie,chris miller,"antonio banderas, salma hayek, zach galifianakis, billy bob thornton, amy sedaris, constance marie, guillermo del toro, mike mitchell",united states,2011,pg,92 min,"children & family movies, comedies",92.0,min
movie,sean anders,"josh zuckerman, amanda crew, clark duke, seth green, james marsden, michael cudlitz, dave sheridan, alice greczyn, katrina bowden, charlie mcdermott, mark l. young",united states,2008,r,109 min,comedies,109.0,min
tv show,unknown,"tia mowry-hardrict, jackée harry, tamera mowry-housley, tim reid, marques houston, ronreaco lee, deon richmond",united states,1998,tv-pg,6 Seasons,"tv comedies, teen tv shows",6.0,season
movie,abbas mustan,"rakhee gulzar, bobby deol, preity zinta",india,1998,tv-14,155 min,"comedies, dramas, international movies",155.0,min
movie,duncan mcmath,"thierry henry, michael carnick, javier mascherano, fabio capello, jordi cruyff, andrés iniesta, xavi hernández, lionel messi, victor valdes, leo messi",spain,2018,tv-ma,109 min,"documentaries, international movies, sports movies",109.0,min
movie,"dan forgione, pete jacobs, matt whitlock","jp karliak, pierce gagnon, alex cazares, kevin michael richardson, flula borg, rhys darby, wendie malick, jake green",united states,2020,tv-y7,115 min,"children & family movies, comedies",115.0,min
movie,francesco carnesecchi,"francesco pannofino, alberto di stasio, gabriele fiore, giorgio colangeli, fabrizio sabatucci, veruska rossi, giulia cragnotti, siria simeoni, lidia vitale, daniele mariani",italy,2020,tv-ma,97 min,"dramas, international movies, sports movies",97.0,min
tv show,unknown,"sumire morohoshi, maaya uchida, mariya ise, yuhko kaida, nao fujita, shinei ueki, lynn, hiyori kono, shizuka ishigami, ai kayano, mari hino, yuko mori, ari ozawa",japan,2019,tv-14,1 Season,"anime series, international tv shows, tv thrillers",1.0,season
movie,raja gosnell,"hank azaria, neil patrick harris, jayma mays, sofía vergara, tim gunn, jonathan winters, katy perry, alan cumming, fred armisen, george lopez, anton yelchin, kenan thompson, jeff foxworthy, john oliver, wolfgang puck, b.j. novak, paul reubens","united states, belgium, canada, france",2011,pg,103 min,"children & family movies, comedies",103.0,min
tv show,greg tiernan,"michael angelis, ben small, keith wickham, kerry shale",united kingdom,2020,tv-y,2 Seasons,"british tv shows, classic & cult tv, kids' tv",2.0,season
movie,"mark thornton, todd kauffman","michela luci, jamie watson, eric peterson, anna claire bartlam, nicolas aqui, cory doran, julie lemieux, derek mcgrath",canada,2020,tv-y,24 min,children & family movies,24.0,min
movie,shamzu zayba,"jacob gregory, s.v. krishna shankar, shine tom chacko, vijayaraghavan, sri lakshmi, anupama parameswaran, dulquer salmaan, nazriya fahad",india,2020,tv-14,110 min,"comedies, international movies, romantic movies",110.0,min
movie,jesse v. johnson,"scott adkins, louis mandylor, vladimir kulich, marina sirtis, ski carr, charity collins, mayling ng, josef cannon, jermaine jacox, vernon wells",united states,2020,tv-ma,97 min,action & adventure,97.0,min
movie,brett haley,"auli'i cravalho, justina machado, rhenzy feliz, fred armisen, carol burnett, judy reyes, taylor richardson, c.s. lee, anthony jacques",united states,2020,pg,94 min,dramas,94.0,min
tv show,unknown,unknown,"united kingdom, united states",2020,tv-ma,1 Season,"british tv shows, crime tv shows, docuseries",1.0,season
tv show,unknown,"masaba gupta, neena gupta, neil bhoopalam, rytasha rathore, smaran sahu, nayan shukla, pooja bedi, satyadeep misra",india,2020,tv-ma,1 Season,"international tv shows, tv comedies, tv dramas",1.0,season
movie,"chris roland, maradona dias dos santos","paulo americano, raul rosario, rapulana seiphemo, david o'hara, hakeem kae-kazim, neide vieira, cigano satyohamba, nompilo gwala","south africa, angola",2020,tv-ma,107 min,"action & adventure, international movies",107.0,min
movie,david galán galindo,"javier rey, verónica echegui, brays efe, antonio resines, álex garcía, carlos areces, ernesto alterio, leonardo sbaraglia",spain,2020,tv-ma,97 min,"international movies, thrillers",97.0,min
tv show,unknown,"kaolip, komegumi koiwasaki, maki tsuruta, sohta arai, rina inoue, shingo kato, yuki takahashi",japan,2020,tv-14,3 Seasons,"anime series, international tv shows",3.0,season
movie,david moreton,"chris stafford, tina holmes, andersen gabrych, stephanie mcvay, lea delaria, john eby, antonio carriero, jason lockhart",united states,1998,tv-ma,103 min,"comedies, dramas, independent movies",103.0,min
movie,lester hsi,"jc lin, vera yen, summer meng, ning chang, ruby zhan, hsieh yi-hung, cheng ko",taiwan,2020,tv-ma,88 min,"horror movies, international movies, thrillers",88.0,min
movie,cyrus nowrasteh,"adam greaves-neal, sara lazzaro, vincent walsh, sean bean, jonathan bailey, agni scott",united states,2016,pg-13,111 min,"dramas, faith & spirituality",111.0,min
tv show,unknown,"carolina gómez, marlon moreno, george slebi, geraldine zivic, andrea gómez, maría cecilia botero, juliana galvis, edwin maya, alejandro gutiérrez, viviana santos, michelle manterola, juan alfonso baptista, carolina cuervo, santiago felipe gomez, matias maldonado, kristina lilley, mauricio figueroa, ana wills, juan manuel diaz, ricardo mejia, orlando valenzuela, ana-maría sánchez, julieta villar",colombia,2020,tv-ma,1 Season,"international tv shows, spanish-language tv shows, tv dramas",1.0,season
movie,isabel sandoval,"eamon farren, lev gorn, pj boudousqué, lynn cohen, isabel sandoval, ivory aquino, andrea leigh, leif steinert","united states, philippines",2019,tv-ma,94 min,"dramas, international movies, lgbtq movies",94.0,min
movie,nathan wiley,"henry cavill, anya chalotra, freya allan, eamon farren, mimi ndiweni, adam levy, myanna buring, joey batey, lauren schmidt hissrich, tomasz bagiński, andrew laws, sneha koorse, declan de barra, beau demayo, simon emanuel, iván pohárnok, tim aslam, charlotte brändström",united states,2020,tv-ma,33 min,documentaries,33.0,min
tv show,unknown,unknown,united states,2020,tv-ma,1 Season,reality tv,1.0,season
movie,unknown,unknown,united kingdom,2020,pg-13,107 min,"documentaries, international movies, sports movies",107.0,min
tv show,unknown,"emily callandrelli, sky alexis, kennedi butler, arya darbahani, christopher farrar, alex jayne go, jayden langarcia, makenzie lee-foster, tenz mccall, zaela rae, mason wells",united states,2020,tv-y,1 Season,kids' tv,1.0,season
tv show,unknown,"brianna hildebrand, kiana madeira, quintessa swindell, brandon butler, odiseas georgiadis, henry zaga, larry sullivan, larisa oleynik",united states,2020,tv-ma,2 Seasons,"tv dramas, teen tv shows",2.0,season
movie,wayne blair,"adrien brody, salma hayek, shohreh aghdashloo, alon aboutboul, navid navid, ariana molkara, nasser memarzia, jamie ward, anthony azizi, liron levo, gabriella wright",united states,2016,pg-13,110 min,"dramas, thrillers",110.0,min
tv show,unknown,unknown,unknown,2019,tv-ma,1 Season,"british tv shows, reality tv, romantic tv shows",1.0,season
tv show,unknown,"'najite dede, jude chukwuka, taiwo arimoro, odenike odetola, funmi eko, keppy ekpenyong",nigeria,2013,tv-g,1 Season,"international tv shows, tv comedies",1.0,season
movie,atul sabharwal,"bobby deol, bhupendra jadawat, hitesh bhojraj, anup soni, joy sengupta, sameer paranjape, ninad mahajani, prithvik pratap",india,2020,tv-14,98 min,"dramas, international movies, thrillers",98.0,min
movie,bernardo arellano,"tenoch huerta, eréndira ibarra, dale carley, ariane pellicer, johana blendl, dai liparoti, mauricio aspe, nick zedd",mexico,2020,tv-ma,81 min,"horror movies, independent movies, international movies",81.0,min
tv show,unknown,"jake johnson, ron funches, cleo king, natasha leggero, a.d. miles, rob riggle, steve berg, eric edelstein, ben hoffman, mary holland, gil ozeri, sam richardson, nick swardson",united states,2020,tv-ma,1 Season,tv comedies,1.0,season
tv show,unknown,"mike hall, michael daingerfield",canada,2020,tv-14,3 Seasons,"international tv shows, reality tv",3.0,season
movie,trish sie,"sadie stanley, maxwell simkins, ken marino, malin akerman, cree cicchino, lucas jaye, karla souza, enuka okuma, erik griffin, joe manganiello",united states,2020,tv-pg,104 min,"action & adventure, children & family movies, comedies",104.0,min
tv show,hong won-ki,"seola, lee hyun-joo, song chae-yun, han ga-rim, shim so-young",south korea,2020,tv-ma,1 Season,"international tv shows, tv horror, tv mysteries",1.0,season
movie,unknown,unknown,united states,2020,tv-pg,17 min,"documentaries, lgbtq movies",17.0,min
movie,khaled marei,"ahmed helmy, menna shalaby, khaled el sawy, bayoumi fouad, entsar, samy maghawry, mahmoud ellisy, yasser el tobgy, hassan hosny, lotfy labib",egypt,2019,tv-ma,121 min,"comedies, international movies",121.0,min
movie,sebastián schindel,"cecilia roth, miguel ángel solá, benjamín amadeo, sofía gala castiglione, yanina ávila, marcelo subiotto, paola barrientos, diego cremonesi, claudio martínez bel",argentina,2020,tv-14,100 min,"dramas, international movies",100.0,min
tv show,unknown,unknown,united states,2020,tv-14,1 Season,reality tv,1.0,season
tv show,unknown,unknown,united states,2020,tv-14,1 Season,"docuseries, science & nature tv",1.0,season
movie,prakash satam,"anamaya verma, arushi talwar, ganesh divekar, jigna bhardwaj, krishna dasadiya, neshma chemburkar, manoj pandey, parminder ghumman, pranav vaidya, saumya daan, sonal kaushal, sumriddhi shukla",unknown,2020,tv-y7,70 min,"children & family movies, comedies",70.0,min
movie,fred wolf,"alec baldwin, salma hayek, jim gaffigan, joe manganiello, treat williams, ben platt, aasif mandvi, natalia cigliuti",united states,2019,r,97 min,comedies,97.0,min
movie,niyi akinmolayan,"adeniyi johnson, tina mba, dele odule, lilian esoro, amaechi muonagor, blessing onwukwe, dayo amusa, kenneth okolie",nigeria,2017,tv-pg,75 min,"comedies, dramas, international movies",75.0,min
movie,sammaria sari simanjuntak,"gading marten, dian sastrowardoyo, faradina mufti, boris bokir, kevin ardilova, shakira jasmine, asri welas, arswendi bening swara, kiki narendra, ibnu jamil",indonesia,2020,tv-pg,102 min,"comedies, dramas, international movies",102.0,min
tv show,unknown,"ricardo hurtado, monica ray, luke youngblood, scott kreamer, dan milano, gunnar sizemore, zehra fazal, sandeep parikh",united states,2020,tv-y7,2 Seasons,kids' tv,2.0,season
movie,chairun nissa,unknown,indonesia,2018,tv-pg,88 min,"documentaries, faith & spirituality, international movies",88.0,min
movie,tom hooper,"hugh jackman, russell crowe, anne hathaway, amanda seyfried, sacha baron cohen, helena bonham carter, eddie redmayne, aaron tveit, samantha barks, daniel huttlestone","united kingdom, united states",2012,pg-13,158 min,"dramas, international movies, music & musicals",158.0,min
movie,sergei bodrov,"jeff bridges, ben barnes, julianne moore, alicia vikander, antje traue, olivia williams, john desantis, kit harington, djimon hounsou, gerard plunkett, jason scott lee","united states, united kingdom, canada, china",2014,pg-13,102 min,"action & adventure, sci-fi & fantasy",102.0,min
tv show,unknown,"seung-woo cho, doona bae, joon-hyuk lee, kyeong-yeong lee, jae-myung yoo, hye-sun shin",south korea,2020,tv-ma,2 Seasons,"crime tv shows, international tv shows, korean tv shows",2.0,season
tv show,unknown,"weruche opia, gbenro ajibade, ireti doyle, keppy ekpenyong, carol king, shaffy bello, tosan edremoda ugbeye, nina iphechukwude anyianuka, pearl nkiru waturuocha, emmanuel ikubese, omowunmi dada, paul adams, charles ukpong, monica friday, kevin ushi",unknown,2016,tv-pg,1 Season,"international tv shows, romantic tv shows, tv dramas",1.0,season
tv show,unknown,"mille dinesen, carsten bjørnlund, lise baastrup, nikolaj groth, ellen hillingsø, morten vang simonsen, lykke sand michelsen, carsten norgaard, sara hjort ditlevsen, alexandre willaume",denmark,2020,tv-ma,5 Seasons,"international tv shows, tv comedies, tv dramas",5.0,season
tv show,unknown,"moayed althagafi, khairiah abulaban, ali alsharif, adel redwan, redwan alremey, hind alsaigh, reem alhabib, khaled bamashmoos, fahad ghazoli, dareen albayedh, naif althufairi, mohammad balkhi",saudi arabia,2014,tv-14,2 Seasons,"international tv shows, tv dramas",2.0,season
movie,ashutosh gowariker,"harman baweja, priyanka chopra, manju singh, anjan srivastav, darshan jariwala, dilip joshi, vishwa badola, rajesh vivek, daya shankar pandey, yuri suri",india,2009,tv-pg,203 min,"comedies, international movies, music & musicals",203.0,min
tv show,unknown,"joão miguel, bianca comparato, michel gomes, rodolfo valente, vaneza oliveira, rafael lozano, viviane porto, mel fronckowiak, sergio mamberti, zezé motta, celso frateschi",brazil,2020,tv-ma,4 Seasons,"international tv shows, tv dramas, tv sci-fi & fantasy",4.0,season
movie,anna stone,unknown,unknown,2020,tv-g,59 min,"documentaries, international movies, sports movies",59.0,min
movie,cory edwards,"yara shahidi, miles robbins, miguel j. pimentel, gabrielle union, jadakiss, tom kenny, angie martinez, harland williams, fat joe, amari mccoy, dwyane wade",canada,2020,tv-y7,92 min,"children & family movies, comedies",92.0,min
movie,faraday okoro,"antonio bell, chinaza uche, tina mba, bimbo manuel, toyin oshinaike, craig stott, ebbe bassey, cristabel goddy, omar maskati, russell g. jones, dean cameron","united states, nigeria",2018,tv-ma,104 min,"dramas, independent movies",104.0,min
movie,blair simmons,"teresa gallagher, simon greenall, keith wickham, rob rackstraw, michael murphy, jo wyatt, helen walsh, andres williams, paul panting",united kingdom,2020,tv-y,72 min,children & family movies,72.0,min
movie,"henry joost, ariel schulman","jamie foxx, joseph gordon-levitt, dominique fishback, rodrigo santoro, courtney b. vance, amy landecker, machine gun kelly, tait fletcher, allen maldonado, andrene ward-hammond",united states,2020,r,113 min,action & adventure,113.0,min
tv show,unknown,"anjelica bette fellini, maddie phillips, kadeem hardison, virginia williams, mackenzie astin, shirley rumierk, myles evans, devon hales, spencer house, eric graise, charity cervantes, wynn everett, method man",united states,2020,tv-ma,1 Season,"crime tv shows, tv comedies, tv dramas",1.0,season
tv show,unknown,"andrés parra, christian tappan, marcela benjumea, juan sebastián calero, waldo urrego, rodrigo jerez, katherine vélez, paula castaño, pedro suárez, édgar vittorino, ramsés ramos, juan pablo barragán",colombia,2020,tv-ma,1 Season,"crime tv shows, international tv shows, spanish-language tv shows",1.0,season
tv show,unknown,"janet varney, david faustino, p.j. byrne, j.k. simmons, dee bradley baker, seychelle gabriel, logan wells, jeff bennett, kiernan shipka",united states,2014,tv-y7,4 Seasons,"kids' tv, tv action & adventure, tv sci-fi & fantasy",4.0,season
tv show,unknown,"kensho ono, takahiro sakurai, mikako komatsu, etsuko kozakura, subaru kimura, kaito ishikawa, ami koshimizu, yoji ikuta, hayato kimura, kotaro nishiyama, takuya kirimoto, tomokazu seki, suzuko mimori",japan,2018,tv-y7,1 Season,"anime series, kids' tv",1.0,season
movie,rebecca zlotowski,"mina farid, zahia dehar, benoît magimel, nuno lopes, clotilde courau, loubna abidar, ""riley"" lakdhar dridi, henri-noël tabary",france,2019,tv-ma,93 min,"comedies, dramas, international movies",93.0,min
movie,antonio campos,"rebecca hall, michael c. hall, tracy letts, maria dizzia, j. smith-cameron, timothy simons, kim shaw, john cullum, morgan spector, jayson warner smith","united kingdom, united states",2016,r,119 min,"dramas, independent movies",119.0,min
movie,antonio campos,"brady corbet, mati diop, constance rousseau, lila salet, solo, michaël abiteboul, nicolas ronchi, étienne rotha moeng","united states, france",2012,tv-ma,105 min,"dramas, independent movies, thrillers",105.0,min
tv show,unknown,unknown,united states,2020,tv-ma,1 Season,reality tv,1.0,season
